abbreviation,name_eng,name_rus
ab,Albite,Альбит
ac,Actinolite,Актинолит
aeg,Aegirine,Эгирин
aug,Augite,Авгит
al,Almandine,Альмандин
am,Amphibole,Амфибол
an,Anorthite,Анортит
bt,Biotite,Биотит
cl,Chlorite,Хлорит
cpx,Clinopyroxene,Клинопироксен
dp,Diopside,Диопсид
ep,Epidote,Эпидот
f,Feldspathoid,Фельдшпатоид
fs,Feldspat,Полевой шпат
gr,Garnet,Гранат
gp,Graphite,Графит
gs,Grossular,Гроссуляр
hbl,Hornblende,Роговая обманка
hed,Hedenbergite,Геденбергит
hyp,Hypersthene,Гиперстен
mc,Mica,Слюда
mi,Microcline,Микроклин
mz,Monazite,Монацит
mu,Muscovite,Мусковит
ne,Nepheline,Нефелин
ol,Olivine,Оливин
opx,Orthopyroxene,Ортопироксен
or,Orthoclase,Ортоклаз
phl,Phlogopite,Флогопит
pl,Plagioclase,Плагиоклаз
po,Pyrope,Пироп
px,Pyroxene,Пироксен
q,Quartz,Кварц
sa,Sanidine,Санидин
src,Sericite,Серицит
srp,Serpentine,Серпентин
cpx+opx,Clinopyroxene and orthopyroxene,Клинопироксен и ортопироксен
